商场编码,商场名称
212,成都群光广场
979,成都世豪商场
207,成都仁和新城
883,成都远洋太古里（专门店）
A08,成都万象城（专门店）
157,成都银泰 In99
107,成都王府井百货科华店
108,成都仁和春天百货光华店
045,成都王府井百货春熙店
A02,成都国际金融中心（专门店）
527,成都双流机场T2
A77,成都国际金融中心2店
A60,成都SKP
543,成都大悦城
182,德州德百
193,乌鲁木齐汇嘉时代
179,乌鲁木齐美美MM2
118,乌鲁木齐天山百货
210,新疆美美友好购物中心
030,北京王府井百货大楼
J36,首都机场T2
072,北京燕莎友谊商城亮马桥店
A67,北京SKP DT51
062,北京翠微
501,北京长楹天街购物中心
897,北京合生汇
008,北京双安商场
504,北京清河万象汇
048,北京汉光百货
891,北京西单大悦城（专门店）
090,北京新世界
964,北京荟聚（专门店）
926,北京颐堤港（专门店）
892,北京大悦城（专门店）
A06,北京国贸商城
879,北京apm（专门店）
149,北京君太百货II
Sunrise BJ T3 GS,北京首都机场T3国际出发小店
019,北京百盛复兴门店
Sunrise BJ T3 MS,北京首都机场T3国际出发大店
Sunrise BJ T2,北京首都机场T2国际出发
134,北京燕莎友谊商城金源店
064,北京SKP
A07,北京太古里（专门店）
054,常州购物中心
076,常州泰富
172,西安赛格
171,西安SKP
129,西安开元商城
967,西安中大国际高新店（专门店）
189,西安金鹰
188,西安王府井
911,西安大悦城（专门店）
086,上海新世界
965,前滩太古里（专门店）
SH Hongqiao,上海虹桥机场T1国际出发
213,上海大宁久光百货
208,上海莘庄百盛
Sunrise PD T2 B1,上海浦东机场T2国际出发B店
927,上海七宝领展广场（专门店）
Sunrise PD T2 A1,上海浦东机场T2国际出发A店
924,上海虹桥机场T2（专门店）
Sunrise PD T1,上海浦东机场T1国际出发
881,港汇恒隆广场（专门店）
880,上海国金中心（专门店）
915,上海K11（专门店）
A05,上海兴业太古汇（专门店）
138,上海新世界大丸百货
A04,上海来福士（专门店）
130,上海久光百货
049,上海东方商厦南东店
025,上海八佰伴
035,上海百盛
042,上海东方商厦徐汇店
A50,上海恒隆广场
046,上海永安百货
A42,上海南翔印象城
531,上海万象城
508,上海合生汇
111,扬州金鹰
518,汕头万象城
162,潍坊中百大厦
065,无锡大东方百货
959,无锡恒隆广场（专门店）
A40,无锡八佰伴中心
144,江阴华地
103,无锡八佰伴
037,无锡三阳百盛
A01,南京德基广场（专门店）
520,南京景枫（专门店）
A54,南京国金中心
J84,南京万象天地
190,南京新百
163,南京金鹰世界
136,南京中央
014,南京金鹰国际购物中心
533,龙华壹方城
884,深圳万象天地（专门店）
934,宝安机场（专门店）
876,深圳海雅缤纷城（专门店）
955,深圳壹方城（专门店）
P16,深圳海岸城（专门店）
930,深圳万象城（专门店）
024,深圳茂业百货华强店
907,深圳卓悦中心
AB5,深圳布吉万象汇
550,罗湖万象城二店
532,深圳龙岗万科
505,深圳湾万象城
127,盐城金鹰国际购物中心
535,佛山岭南天地
919,佛山王府井
515,佛山环宇城
154,临沂银座
512,兰州万象城
941,兰州中心（专门店）
137,兰州国芳百货
526,杭州机场T3 
530,杭州城西银泰城（专门店）
142,杭州银泰西湖店
181,杭州萧山银隆
875,杭州万象城（专门店）
166,杭州湖滨银泰IN77
061,杭州银泰武林店
015,杭州大厦
152,青岛金狮广场
146,青岛百盛万象城店
093,青岛海信广场
A47,温州百盛印象城
983,温州万象城（专门店）
101,温州银泰
029,温州开太百货
B25,重庆星光68广场
0A7,重庆万象城
A88,重庆光环
J45,重庆机场T3
534,重庆龙湖时代天街
A12,重庆龙湖北城天街（专门店）
P08,重庆国金中心（专门店）
160,重庆新光天地
122,重庆新世纪百货世纪新都店
B05,邢台北国
933,宁波万象城
206,宁波阪急百货
205,宁波环球银泰城
026,宁波银泰百货天一店
214,保定先天下商场
159,保定保百购物广场
209,嘉兴八佰伴
080,广州广百北京店
082,广州友谊正佳店
894,广州天汇广场（专门店）
074,广州广百天河店
012,广州友谊环东店
A03,广州太古汇（专门店）
980,广州天环广场
975,广州K11
052,济南贵和
077,济南银座
511,济南恒隆
917,济南万象城（专门店）
B24,天津国金汇
J47,天津万象城
887,天津南开大悦城（专门店）
133,天津金元宝滨海国际
123,天津海信
194,西宁王府井大象城
119,西宁王府井百货
178,郑州正弘城
B10,郑州丹尼斯大卫城
109,郑州丹尼斯百货 花园店
028,郑州丹尼斯百货 人民店
A66,郑州正弘汇
542,郑州新郑机场
180,石家庄新百
069,石家庄北国商城
145,石家庄先天下
078,烟台振华商厦
147,银川新华百货
918,珠海华发商都（专门店）
128,淄博银座商城
905,贵阳万象
156,贵阳南国花锦
050,贵阳国贸广场
A68,洛阳丹尼斯大卫天地
113,洛阳王府井百货
204,温岭银泰城
124,邯郸阳光新世纪
148,金华一百永盛店
164,义乌银泰
A59,武汉SKP
A46,武汉梦时代
895,武汉万象城
931,武汉汉口K11（专门店）
027,武商广场
088,武汉群光
126,唐山百货大楼
191,绍兴银泰城
131,绍兴国商
J61,南宁万象城（专门店）
196,南宁百盛印象城
114,南宁百盛万象城店
929,太原万象城
174,太原茂业
132,太原王府井
183,柳州工贸
187,呼和浩特振华
115,呼和浩特维多利亚商厦
177,海口望海国际
Haikou,海口美兰机场
548,南通万象城
140,南通文峰
153,南通八佰伴
203,张家港曼巴特
199,昆山金鹰
A39,美罗百货新区店
874,苏州中心（专门店）
041,苏州泰华
033,苏州美罗
200,十堰人民商场
169,包头王府井百货（昆区店）
Haitang Bay,三亚免税城
