商场编码,商场名称
PR5,保定北国先天
2G5,宝鸡开元
OP0,北京百盛
Y30,北京汉光
BC5,北京合生汇
DX5,北京荟聚
LI0,北京三里屯
YK0,北京SKP
ED5,北京王府井
O10,北京新世界
8U5,北京长楹天街
8S5,北京朝阳大悦城
7L5,蚌埠银泰
YU0,长春欧亚
RZ0,长春欧亚卖场
6Q5,长春万象城
875,常德友谊
795,常熟八佰伴
LO0,常州泰富
6H5,常州武进吾悦
CK5,常州新世纪
1J5,成都大悦城
5M5,成都IFS
LT0,成都群光
9U5,成都仁和新城
YN5,成都SKP
YV0,成都太古里
6M5,成都太古里2店
5L5,成都万象城
Y70,成都王府井
YW0,成都王府井科华店
YJ5,成都银泰城
TU0,成都银泰in99
6V5,重庆百货大楼
LH0,重庆北城天街
DT5,重庆万象城
OQ0,重庆新光
YT0,重庆新世纪
JL5,重庆星光68
QR0,大连恒隆
O00,大连麦凯乐
2F5,大同百盛
855,德阳洋洋
D55,东莞国贸
GZ5,佛山王府井
H45,福州爱琴海
OR0,福州东百
MS5,福州万象城
FL5,广州广百
YS5,广州k11
OO0,广州天河城
YQ0,广州新鸿基
Y80,贵阳国贸
LR0,贵阳亨特
OM0,贵阳南国花锦
YG5,贵阳万象汇
O30,哈尔滨松雷
YC0,哈尔滨远大
5O5,海宁银泰
U95,邯郸新世纪
Y55,杭州滨江银泰
LV0,杭州in77
LB0,杭州万象城
Y20,杭州银泰
AW5,合肥滨湖银泰
OT0,合肥银泰
MR5,合肥银泰城in77
JU5,合肥之心城
BB5,呼和浩特振华
655,湖州浙北
OG0,淮安新亚
YQ5,惠州华贸
Y75,济南恒隆
CP5,济南银座
C25,嘉兴八佰伴
4D5,江门大融城
YC5,金华第一百货
YN0,昆明百盛
Y65,昆明春之眼
2E5,昆明恒隆
LW0,昆明顺城
JL0,昆明万象城
XH5,昆山金鹰
YH5,兰州国芳
LP0,兰州中心
Y45,柳州工贸
ZF5,洛阳大卫天地
1L5,绵阳百盛
CQ5,南昌八一百盛
OC0,南昌百盛
YP5,南昌T16
255,南昌武广
8B5,南充王府井
OH0,南京德基
XI5,南京河西金鹰
4E5,南京IFC
YO0,南京金鹰
FV0,南京景枫
Y15,南京万象天地
LC0,南京新百
YI0,南京中央
YJ0,南宁百盛
FC5,南宁万象城
YR5,南通文峰
YD5,宁波阪急
YF0,宁波天一银泰
8N5,秦皇岛茂业天地
YY0,青岛海信
O40,青岛啤酒城
YF5,青岛万象城
YI5,泉州中骏城
OE0,上海八佰伴
Y40,上海淮海百盛
OX0,上海IFC
E55,上海久光
Y00,上海梅陇镇伊势丹
0K5,上海南翔印象城
PX5,上海七宝万科
YO5,上海芮欧
OU0,上海市百一店
7K5,上海新世界
OL0,上海新世界大丸
5E5,上海兴业太古汇
YU5,绍兴银泰
LS0,深圳coco park
LK0,深圳海岸城
OJ0,深圳海雅缤纷城
YX5,深圳龙华壹方城
Y85,深圳罗湖万象城
YZ0,深圳茂业
PV5,深圳万象天地
LQ0,深圳壹方城
A15,深圳益田
YB5,深圳卓悦中心
MV5,沈阳万象城
YE0,沈阳新玛特
Y60,沈阳中兴
O50,石家庄北国
H65,石家庄新百
O70,苏州泰华
2X5,宿迁金鹰
YP0,太原王府井
645,泰州金鹰
9T5,唐山百货
OW0,天津大悦城
8H5,天津国金汇
AV5,天津海信
YL5,天津仁恒伊势丹
QT0,潍坊银座
825,潍坊中百
YY5,温岭银泰
Y50,温州银泰
TY0,温州印象城
E25,乌鲁木齐汇嘉
Y25,乌鲁木齐美美1
LA0,乌鲁木齐美美2
0L5,乌鲁木齐美美三
7M5,芜湖八佰伴
ZO5,无锡八佰伴
LN0,无锡商业大厦
Y35,武汉梦时代
OA0,武汉群光
QN0,武汉SKP
ZP5,武汉万象城
YD0,武商1店
LD0,武商2店
BA5,西安大融城
BV5,西安金鹰高新店
Y90,西安开元
LE0,西安赛格
OZ0,西安SKP
EU5,西宁大象城
O90,西宁王府井
665,厦门宝龙
DU5,厦门SM
YV5,厦门万象城
C15,萧山银隆
385,新乡胖东来
O60,徐州金鹰
OF0,烟台振华
LJ0,盐城金鹰
3D5,扬州金鹰
LL0,宜昌国贸
XD5,义乌银泰
4C5,银川新百
185,张家港曼巴特
Y95,长沙大悦城
OB0,长沙海信
OY0,长沙IFS百盛
YA0,长沙平和堂
MZ5,长沙万家丽
TZ0,长沙王府井
XF5,长沙星城步步高
PG5,镇江八佰伴
YE5,郑州大卫城2店
YM0,郑州丹尼斯
YH0,郑州丹尼斯大卫城
LF0,郑州正弘城
YM5,郑州正弘汇
YW5,淄博银座
